LAST SEEN   TYPE      REASON                            OBJECT                                             MESSAGE
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
73s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
73s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
73s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
44s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
43s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
16s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
2m          Warning   PolicyViolation                   deployment/e2e-dev-deployment-invalid              policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
2m5s        Warning   PolicyViolation                   daemonset/e2e-dev-daemonset-invalid                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
