NAMESPACE            NAME                                   KIND          NAME                                                     PASS   FAIL   WARN   ERROR   SKIP   AGE
kyverno              ef7c45c7-d14d-4855-a733-54f378f0a4a6   ReplicaSet    kyverno-admission-controller-dfc5dbb76                   0      0      0      0       8      2m28s
kyverno              f19f5819-500f-45de-af77-d9f7795e0fc7   Pod           kyverno-admission-controller-65d97f9d85-mz6ct            0      0      0      0       8      2m37s
kyverno              fad2284f-caad-4f66-bdfc-c115921f8304   ReplicaSet    kyverno-admission-controller-5cb86486cd                  0      0      0      0       8      2m30s
local-path-storage   8437ff00-30b2-41b4-9ca5-8b69abcf5f14   Deployment    local-path-provisioner                                   2      8      0      0       0      2m23s
local-path-storage   9c1581d6-9ef8-45a2-ad7c-bcccdd8f7066   ReplicaSet    local-path-provisioner-79b7b99b5d                        2      6      0      0       0      2m25s
local-path-storage   ffeb5fd7-e5ba-461b-8a74-e43c1bad1056   Pod           local-path-provisioner-79b7b99b5d-b6gn6                  2      6      0      0       0      2m33s
monitoring           0cd0fab2-d472-414e-97c3-757a3572cc50   Pod           alertmanager-monitoring-kube-prometheus-alertmanager-0   3      5      0      0       0      2m35s
monitoring           1a35b194-7f60-4a00-9b71-9298b581d2b4   Pod           monitoring-grafana-7dcf4fc76f-mgx2l                      3      5      0      0       0      2m38s
monitoring           277cd799-b7f7-4411-be98-6ac32a94804e   StatefulSet   prometheus-monitoring-kube-prometheus-prometheus         4      6      0      0       0      2m20s
monitoring           2bdb643d-3d28-4da5-b5d8-e02f8f3de9a7   Pod           monitoring-prometheus-node-exporter-rxs5q                2      6      0      0       0      2m35s
monitoring           31e1884e-b66f-4942-bdd8-2b3622b67267   Pod           monitoring-kube-prometheus-operator-744d56b88f-d5n56     3      5      0      0       0      2m32s
monitoring           353f56fa-639e-45bb-9755-c629df935aa9   ReplicaSet    monitoring-grafana-7dcf4fc76f                            3      5      0      0       0      2m30s
monitoring           40e55e53-690a-4ec0-a9af-553489007e4d   ReplicaSet    monitoring-kube-state-metrics-7c9c8f4687                 3      5      0      0       0      2m25s
monitoring           5f7579f1-2f80-41ee-bd37-0617b0a43f4e   StatefulSet   alertmanager-monitoring-kube-prometheus-alertmanager     4      6      0      0       0      2m19s
monitoring           62a94980-5591-45bb-a69d-9917f2ef5665   Deployment    monitoring-grafana                                       4      6      0      0       0      2m21s
monitoring           9816bf1a-5c28-44ed-9ed3-b0b126a81ff3   Pod           monitoring-prometheus-node-exporter-wrb9f                2      6      0      0       0      2m31s
monitoring           9ebd48c6-0cf4-4844-8426-b0cc58d574bf   ReplicaSet    monitoring-kube-prometheus-operator-744d56b88f           3      5      0      0       0      2m25s
monitoring           a07fc946-cae7-4a84-9ab5-f96bc57bc359   Pod           prometheus-monitoring-kube-prometheus-prometheus-0       3      5      0      0       0      2m37s
monitoring           c24ee065-a4b7-4cf8-ad32-f8e75e642d36   Deployment    monitoring-kube-prometheus-operator                      4      6      0      0       0      2m21s
monitoring           c7145c6c-4b47-4e10-8f89-38895cbd6e80   DaemonSet     monitoring-prometheus-node-exporter                      3      7      0      0       0      2m18s
monitoring           d525e34e-fbd6-4a9d-b4de-e84eb55866bd   Deployment    monitoring-kube-state-metrics                            4      6      0      0       0      2m21s
monitoring           f2100d31-f6b9-4a7b-9bc4-d96fed93251d   Pod           monitoring-kube-state-metrics-7c9c8f4687-9ztgf           3      5      0      0       0      2m37s
monitoring           fcf0a802-95d0-4061-a2bf-7476f76657f6   Pod           monitoring-prometheus-node-exporter-xvrjt                2      6      0      0       0      2m32s
tigera-operator      22540f1a-fd3c-4c41-b913-469891e887b5   Deployment    tigera-operator                                          0      0      0      0       10     2m20s
tigera-operator      36fc2e85-1255-4562-aefb-456ded3340f5   Pod           tigera-operator-7fc95779c7-v9krb                         0      0      0      0       8      2m35s
tigera-operator      a0fc53a2-27c0-4242-957f-ea762da05762   ReplicaSet    tigera-operator-7fc95779c7                               0      0      0      0       8      2m30s
