NAMESPACE            LAST SEEN   TYPE      REASON               OBJECT                                                             MESSAGE
default              36m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              35m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              35m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              35m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              34m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              34m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              33m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              33m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              33m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              32m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              32m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              31m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              31m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              31m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              30m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              30m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              29m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              29m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              28m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
