LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
2m48s       Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-mk9nz    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
2m34s       Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467   Created pod: kyverno-admission-controller-54d58cc467-z24lv
2m34s       Normal    Killing             pod/kyverno-admission-controller-65d97f9d85-k5vdp    Stopping container kyverno
2m34s       Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-k5vdp
2m33s       Normal    Created             pod/kyverno-admission-controller-54d58cc467-z24lv    Container created
2m33s       Normal    Started             pod/kyverno-admission-controller-54d58cc467-z24lv    Container started
2m33s       Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-z24lv    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
2m17s       Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-z24lv    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
2m17s       Normal    Created             pod/kyverno-admission-controller-54d58cc467-z24lv    Container created
2m17s       Normal    Started             pod/kyverno-admission-controller-54d58cc467-z24lv    Container started
2m10s       Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467   Created pod: kyverno-admission-controller-54d58cc467-r8lnt
2m10s       Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Stopping container kyverno
2m10s       Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9   Deleted pod: kyverno-admission-controller-6fdd8c56c9-4f4l2
2m9s        Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-r8lnt    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
2m9s        Normal    Started             pod/kyverno-admission-controller-54d58cc467-r8lnt    Container started
2m9s        Normal    Created             pod/kyverno-admission-controller-54d58cc467-r8lnt    Container created
114s        Normal    Created             pod/kyverno-admission-controller-54d58cc467-r8lnt    Container created
114s        Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-r8lnt    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
114s        Normal    Started             pod/kyverno-admission-controller-54d58cc467-r8lnt    Container started
109s        Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9   Deleted pod: kyverno-admission-controller-6fdd8c56c9-425ds
109s        Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-w8n68    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
109s        Normal    Created             pod/kyverno-admission-controller-54d58cc467-w8n68    Container created
109s        Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467   Created pod: kyverno-admission-controller-54d58cc467-w8n68
109s        Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-425ds    Stopping container kyverno
108s        Normal    Started             pod/kyverno-admission-controller-54d58cc467-w8n68    Container started
93s         Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-w8n68    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
93s         Normal    Created             pod/kyverno-admission-controller-54d58cc467-w8n68    Container created
93s         Normal    Started             pod/kyverno-admission-controller-54d58cc467-w8n68    Container started
79s         Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9   Deleted pod: kyverno-admission-controller-6fdd8c56c9-mkxcc
79s         Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-mkxcc    Stopping container kyverno
79s         Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              (combined from similar events): Scaled down replica set kyverno-admission-controller-6fdd8c56c9 from 1 to 0
